# id;timestamp;commentText;codeText;commentWords;codeWords
MethodVisitor -> public void visitAttribute(Attribute attr);1366718246;Visits a non standard attribute of this method.__@param attr_an attribute.;public void visitAttribute(Attribute attr) {_        if (mv != null) {_            mv.visitAttribute(attr)__        }_    };visits,a,non,standard,attribute,of,this,method,param,attr,an,attribute;public,void,visit,attribute,attribute,attr,if,mv,null,mv,visit,attribute,attr
MethodVisitor -> public MethodVisitor(final int api, final MethodVisitor mv);1505821772;Constructs a new {@link MethodVisitor}.__@param api_the ASM API version implemented by this visitor. Must be one_of {@link Opcodes#ASM4}, {@link Opcodes#ASM5} or {@link Opcodes#ASM6}._@param mv_the method visitor to which this visitor must delegate method_calls. May be null.;public MethodVisitor(final int api, final MethodVisitor mv) {_        if (api < Opcodes.ASM4 || api > Opcodes.ASM6) {_            throw new IllegalArgumentException()__        }_        this.api = api__        this.mv = mv__    };constructs,a,new,link,method,visitor,param,api,the,asm,api,version,implemented,by,this,visitor,must,be,one,of,link,opcodes,asm4,link,opcodes,asm5,or,link,opcodes,asm6,param,mv,the,method,visitor,to,which,this,visitor,must,delegate,method,calls,may,be,null;public,method,visitor,final,int,api,final,method,visitor,mv,if,api,opcodes,asm4,api,opcodes,asm6,throw,new,illegal,argument,exception,this,api,api,this,mv,mv
MethodVisitor -> public void visitAttribute(final Attribute attribute);1531241461;Visits a non standard attribute of this method.__@param attribute an attribute.;public void visitAttribute(final Attribute attribute) {_    if (mv != null) {_      mv.visitAttribute(attribute)__    }_  };visits,a,non,standard,attribute,of,this,method,param,attribute,an,attribute;public,void,visit,attribute,final,attribute,attribute,if,mv,null,mv,visit,attribute,attribute
MethodVisitor -> public void visitAttribute(final Attribute attribute);1533573221;Visits a non standard attribute of this method.__@param attribute an attribute.;public void visitAttribute(final Attribute attribute) {_    if (mv != null) {_      mv.visitAttribute(attribute)__    }_  };visits,a,non,standard,attribute,of,this,method,param,attribute,an,attribute;public,void,visit,attribute,final,attribute,attribute,if,mv,null,mv,visit,attribute,attribute
MethodVisitor -> public void visitAttribute(final Attribute attribute);1536664245;Visits a non standard attribute of this method.__@param attribute an attribute.;public void visitAttribute(final Attribute attribute) {_    if (mv != null) {_      mv.visitAttribute(attribute)__    }_  };visits,a,non,standard,attribute,of,this,method,param,attribute,an,attribute;public,void,visit,attribute,final,attribute,attribute,if,mv,null,mv,visit,attribute,attribute
MethodVisitor -> public void visitAttribute(final Attribute attribute);1537204147;Visits a non standard attribute of this method.__@param attribute an attribute.;public void visitAttribute(final Attribute attribute) {_    if (mv != null) {_      mv.visitAttribute(attribute)__    }_  };visits,a,non,standard,attribute,of,this,method,param,attribute,an,attribute;public,void,visit,attribute,final,attribute,attribute,if,mv,null,mv,visit,attribute,attribute
MethodVisitor -> public void visitTryCatchBlock(Label start, Label end, Label handler,             String type);1366718246;Visits a try catch block.__@param start_beginning of the exception handler's scope (inclusive)._@param end_end of the exception handler's scope (exclusive)._@param handler_beginning of the exception handler's code._@param type_internal name of the type of exceptions handled by the_handler, or <tt>null</tt> to catch any exceptions (for_"finally" blocks)._@throws IllegalArgumentException_if one of the labels has already been visited by this visitor_(by the {@link #visitLabel visitLabel} method).;public void visitTryCatchBlock(Label start, Label end, Label handler,_            String type) {_        if (mv != null) {_            mv.visitTryCatchBlock(start, end, handler, type)__        }_    };visits,a,try,catch,block,param,start,beginning,of,the,exception,handler,s,scope,inclusive,param,end,end,of,the,exception,handler,s,scope,exclusive,param,handler,beginning,of,the,exception,handler,s,code,param,type,internal,name,of,the,type,of,exceptions,handled,by,the,handler,or,tt,null,tt,to,catch,any,exceptions,for,finally,blocks,throws,illegal,argument,exception,if,one,of,the,labels,has,already,been,visited,by,this,visitor,by,the,link,visit,label,visit,label,method;public,void,visit,try,catch,block,label,start,label,end,label,handler,string,type,if,mv,null,mv,visit,try,catch,block,start,end,handler,type
MethodVisitor -> public void visitTryCatchBlock(Label start, Label end, Label handler,             String type);1367955086;Visits a try catch block.__@param start_beginning of the exception handler's scope (inclusive)._@param end_end of the exception handler's scope (exclusive)._@param handler_beginning of the exception handler's code._@param type_internal name of the type of exceptions handled by the_handler, or <tt>null</tt> to catch any exceptions (for_"finally" blocks)._@throws IllegalArgumentException_if one of the labels has already been visited by this visitor_(by the {@link #visitLabel visitLabel} method).;public void visitTryCatchBlock(Label start, Label end, Label handler,_            String type) {_        if (mv != null) {_            mv.visitTryCatchBlock(start, end, handler, type)__        }_    };visits,a,try,catch,block,param,start,beginning,of,the,exception,handler,s,scope,inclusive,param,end,end,of,the,exception,handler,s,scope,exclusive,param,handler,beginning,of,the,exception,handler,s,code,param,type,internal,name,of,the,type,of,exceptions,handled,by,the,handler,or,tt,null,tt,to,catch,any,exceptions,for,finally,blocks,throws,illegal,argument,exception,if,one,of,the,labels,has,already,been,visited,by,this,visitor,by,the,link,visit,label,visit,label,method;public,void,visit,try,catch,block,label,start,label,end,label,handler,string,type,if,mv,null,mv,visit,try,catch,block,start,end,handler,type
MethodVisitor -> public void visitTryCatchBlock(Label start, Label end, Label handler,             String type);1395273982;Visits a try catch block.__@param start_beginning of the exception handler's scope (inclusive)._@param end_end of the exception handler's scope (exclusive)._@param handler_beginning of the exception handler's code._@param type_internal name of the type of exceptions handled by the_handler, or <tt>null</tt> to catch any exceptions (for_"finally" blocks)._@throws IllegalArgumentException_if one of the labels has already been visited by this visitor_(by the {@link #visitLabel visitLabel} method).;public void visitTryCatchBlock(Label start, Label end, Label handler,_            String type) {_        if (mv != null) {_            mv.visitTryCatchBlock(start, end, handler, type)__        }_    };visits,a,try,catch,block,param,start,beginning,of,the,exception,handler,s,scope,inclusive,param,end,end,of,the,exception,handler,s,scope,exclusive,param,handler,beginning,of,the,exception,handler,s,code,param,type,internal,name,of,the,type,of,exceptions,handled,by,the,handler,or,tt,null,tt,to,catch,any,exceptions,for,finally,blocks,throws,illegal,argument,exception,if,one,of,the,labels,has,already,been,visited,by,this,visitor,by,the,link,visit,label,visit,label,method;public,void,visit,try,catch,block,label,start,label,end,label,handler,string,type,if,mv,null,mv,visit,try,catch,block,start,end,handler,type
MethodVisitor -> public void visitTryCatchBlock(Label start, Label end, Label handler,             String type);1397644526;Visits a try catch block.__@param start_beginning of the exception handler's scope (inclusive)._@param end_end of the exception handler's scope (exclusive)._@param handler_beginning of the exception handler's code._@param type_internal name of the type of exceptions handled by the_handler, or <tt>null</tt> to catch any exceptions (for_"finally" blocks)._@throws IllegalArgumentException_if one of the labels has already been visited by this visitor_(by the {@link #visitLabel visitLabel} method).;public void visitTryCatchBlock(Label start, Label end, Label handler,_            String type) {_        if (mv != null) {_            mv.visitTryCatchBlock(start, end, handler, type)__        }_    };visits,a,try,catch,block,param,start,beginning,of,the,exception,handler,s,scope,inclusive,param,end,end,of,the,exception,handler,s,scope,exclusive,param,handler,beginning,of,the,exception,handler,s,code,param,type,internal,name,of,the,type,of,exceptions,handled,by,the,handler,or,tt,null,tt,to,catch,any,exceptions,for,finally,blocks,throws,illegal,argument,exception,if,one,of,the,labels,has,already,been,visited,by,this,visitor,by,the,link,visit,label,visit,label,method;public,void,visit,try,catch,block,label,start,label,end,label,handler,string,type,if,mv,null,mv,visit,try,catch,block,start,end,handler,type
MethodVisitor -> public void visitTryCatchBlock(Label start, Label end, Label handler,             String type);1483093254;Visits a try catch block.__@param start_beginning of the exception handler's scope (inclusive)._@param end_end of the exception handler's scope (exclusive)._@param handler_beginning of the exception handler's code._@param type_internal name of the type of exceptions handled by the_handler, or <tt>null</tt> to catch any exceptions (for_"finally" blocks)._@throws IllegalArgumentException_if one of the labels has already been visited by this visitor_(by the {@link #visitLabel visitLabel} method).;public void visitTryCatchBlock(Label start, Label end, Label handler,_            String type) {_        if (mv != null) {_            mv.visitTryCatchBlock(start, end, handler, type)__        }_    };visits,a,try,catch,block,param,start,beginning,of,the,exception,handler,s,scope,inclusive,param,end,end,of,the,exception,handler,s,scope,exclusive,param,handler,beginning,of,the,exception,handler,s,code,param,type,internal,name,of,the,type,of,exceptions,handled,by,the,handler,or,tt,null,tt,to,catch,any,exceptions,for,finally,blocks,throws,illegal,argument,exception,if,one,of,the,labels,has,already,been,visited,by,this,visitor,by,the,link,visit,label,visit,label,method;public,void,visit,try,catch,block,label,start,label,end,label,handler,string,type,if,mv,null,mv,visit,try,catch,block,start,end,handler,type
MethodVisitor -> public void visitTryCatchBlock(Label start, Label end, Label handler,             String type);1505821772;Visits a try catch block.__@param start_beginning of the exception handler's scope (inclusive)._@param end_end of the exception handler's scope (exclusive)._@param handler_beginning of the exception handler's code._@param type_internal name of the type of exceptions handled by the_handler, or <tt>null</tt> to catch any exceptions (for_"finally" blocks)._@throws IllegalArgumentException_if one of the labels has already been visited by this visitor_(by the {@link #visitLabel visitLabel} method).;public void visitTryCatchBlock(Label start, Label end, Label handler,_            String type) {_        if (mv != null) {_            mv.visitTryCatchBlock(start, end, handler, type)__        }_    };visits,a,try,catch,block,param,start,beginning,of,the,exception,handler,s,scope,inclusive,param,end,end,of,the,exception,handler,s,scope,exclusive,param,handler,beginning,of,the,exception,handler,s,code,param,type,internal,name,of,the,type,of,exceptions,handled,by,the,handler,or,tt,null,tt,to,catch,any,exceptions,for,finally,blocks,throws,illegal,argument,exception,if,one,of,the,labels,has,already,been,visited,by,this,visitor,by,the,link,visit,label,visit,label,method;public,void,visit,try,catch,block,label,start,label,end,label,handler,string,type,if,mv,null,mv,visit,try,catch,block,start,end,handler,type
MethodVisitor -> public void visitCode();1366718246;Starts the visit of the method's code, if any (i.e. non abstract method).;public void visitCode() {_        if (mv != null) {_            mv.visitCode()__        }_    };starts,the,visit,of,the,method,s,code,if,any,i,e,non,abstract,method;public,void,visit,code,if,mv,null,mv,visit,code
MethodVisitor -> public void visitCode();1367955086;Starts the visit of the method's code, if any (i.e. non abstract method).;public void visitCode() {_        if (mv != null) {_            mv.visitCode()__        }_    };starts,the,visit,of,the,method,s,code,if,any,i,e,non,abstract,method;public,void,visit,code,if,mv,null,mv,visit,code
MethodVisitor -> public void visitCode();1395273982;Starts the visit of the method's code, if any (i.e. non abstract method).;public void visitCode() {_        if (mv != null) {_            mv.visitCode()__        }_    };starts,the,visit,of,the,method,s,code,if,any,i,e,non,abstract,method;public,void,visit,code,if,mv,null,mv,visit,code
MethodVisitor -> public void visitCode();1397644526;Starts the visit of the method's code, if any (i.e. non abstract method).;public void visitCode() {_        if (mv != null) {_            mv.visitCode()__        }_    };starts,the,visit,of,the,method,s,code,if,any,i,e,non,abstract,method;public,void,visit,code,if,mv,null,mv,visit,code
MethodVisitor -> public void visitCode();1483093254;Starts the visit of the method's code, if any (i.e. non abstract method).;public void visitCode() {_        if (mv != null) {_            mv.visitCode()__        }_    };starts,the,visit,of,the,method,s,code,if,any,i,e,non,abstract,method;public,void,visit,code,if,mv,null,mv,visit,code
